id,name,parsecs_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
4811,Kepler-372 b,1493.95,2.42 Earths,14.928,2014,https://science.nasa.gov/exoplanet-catalog/kepler-372-b/
4812,Kepler-371 c,813.192,3.82 Earths,13.997,2014,https://science.nasa.gov/exoplanet-catalog/kepler-371-c/
4813,Kepler-370 c,1167.94,4.31 Earths,15.467,2014,https://science.nasa.gov/exoplanet-catalog/kepler-370-c/
4814,Kepler-370 b,1167.94,3.15 Earths,15.467,2014,https://science.nasa.gov/exoplanet-catalog/kepler-370-b/
4815,Kepler-369 c,214,2.57 Earths,16.429,2014,https://science.nasa.gov/exoplanet-catalog/kepler-369-c/
4816,Kepler-369 b,214,1.51 Earths,16.429,2014,https://science.nasa.gov/exoplanet-catalog/kepler-369-b/
4817,Kepler-368 b,770.978,10.7 Earths,12.946,2014,https://science.nasa.gov/exoplanet-catalog/kepler-368-b/
4818,Kepler-367 c,188.027,1.87 Earths,13.193,2014,https://science.nasa.gov/exoplanet-catalog/kepler-367-c/
4819,Kepler-367 b,188.027,2.24 Earths,13.193,2014,https://science.nasa.gov/exoplanet-catalog/kepler-367-b/
4820,,1856.28,2.73 Earths,14.952,2014,https://science.nasa.gov/exoplanet-catalog/kepler-366-b/
4821,Kepler-365 c,1038.99,3.33 Earths,14.771,2014,https://science.nasa.gov/exoplanet-catalog/kepler-365-c/
4822,Kepler-365 b,1038.99,4.82 Earths,14.771,2014,https://science.nasa.gov/exoplanet-catalog/kepler-365-b/
4823,Kepler-226 d,980.138,1.98 Earths,15.563,2014,https://science.nasa.gov/exoplanet-catalog/kepler-226-d/
4824,Kepler-226 b,980.138,24 Earths,15.563,2014,https://science.nasa.gov/exoplanet-catalog/kepler-226-b/
4825,Kepler-225 c,561.101,4.04 Earths,16.294,2014,https://science.nasa.gov/exoplanet-catalog/kepler-225-c/
4826,Kepler-225 b,561.101,1.87 Earths,16.294,2014,https://science.nasa.gov/exoplanet-catalog/kepler-225-b/
4827,Kepler-224 e,782.088,4.54 Earths,15.801,2014,https://science.nasa.gov/exoplanet-catalog/kepler-224-e/
4828,Kepler-224 c,782.088,9.91 Earths,15.801,2014,https://science.nasa.gov/exoplanet-catalog/kepler-224-c/
4829,Kepler-224 b,782.088,2.51 Earths,15.801,2014,https://science.nasa.gov/exoplanet-catalog/kepler-224-b/
4830,Kepler-223 e,1859.71,4.8 Earths,15.69,2014,https://science.nasa.gov/exoplanet-catalog/kepler-223-e/
4831,Kepler-223 c,1859.71,5.1 Earths,15.69,2014,https://science.nasa.gov/exoplanet-catalog/kepler-223-c/
4832,Kepler-223 b,1859.71,7.4 Earths,15.69,2014,https://science.nasa.gov/exoplanet-catalog/kepler-223-b/
4833,Kepler-222 d,758.854,13.2 Earths,15.407,2014,https://science.nasa.gov/exoplanet-catalog/kepler-222-d/
4834,Kepler-222 b,758.854,10.1 Earths,15.407,2014,https://science.nasa.gov/exoplanet-catalog/kepler-222-b/
4835,Kepler-221 e,385.231,7.86706 Earths,13.97,2014,https://science.nasa.gov/exoplanet-catalog/kepler-221-e/
4836,Kepler-221 d,385.231,3.61 Earths,13.97,2014,https://science.nasa.gov/exoplanet-catalog/kepler-221-d/
4837,Kepler-221 c,385.231,9.3 Earths,13.97,2014,https://science.nasa.gov/exoplanet-catalog/kepler-221-c/
4838,Kepler-220 e,171.109,2.33 Earths,13.049,2014,https://science.nasa.gov/exoplanet-catalog/kepler-220-e/
4839,Kepler-220 d,171.109,0.904 Earths,13.049,2014,https://science.nasa.gov/exoplanet-catalog/kepler-220-d/
4840,Kepler-220 c,171.109,3.09 Earths,13.049,2014,https://science.nasa.gov/exoplanet-catalog/kepler-220-c/
